date,home_team,away_team,game_id,url,stage
2020-09-12 15:00:00,Crystal Palace,Southampton,1485186,https://www.whoscored.com/Matches/1485186/Live/England-Premier-League-2020-2021-Crystal-Palace-Southampton,
2020-09-12 12:30:00,Fulham,Arsenal,1485187,https://www.whoscored.com/Matches/1485187/Live/England-Premier-League-2020-2021-Fulham-Arsenal,
2020-09-12 17:30:00,Liverpool,Leeds,1485188,https://www.whoscored.com/Matches/1485188/Live/England-Premier-League-2020-2021-Liverpool-Leeds,
2020-09-12 20:00:00,West Ham,Newcastle,1485191,https://www.whoscored.com/Matches/1485191/Live/England-Premier-League-2020-2021-West-Ham-Newcastle,
2020-09-13 16:30:00,Tottenham,Everton,1485189,https://www.whoscored.com/Matches/1485189/Live/England-Premier-League-2020-2021-Tottenham-Everton,
2020-09-13 14:00:00,West Bromwich Albion,Leicester,1485190,https://www.whoscored.com/Matches/1485190/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Leicester,
2020-09-14 20:15:00,Brighton,Chelsea,1485192,https://www.whoscored.com/Matches/1485192/Live/England-Premier-League-2020-2021-Brighton-Chelsea,
2020-09-14 18:00:00,Sheffield United,Wolves,1485193,https://www.whoscored.com/Matches/1485193/Live/England-Premier-League-2020-2021-Sheffield-United-Wolves,
2020-09-19 20:00:00,Arsenal,West Ham,1485194,https://www.whoscored.com/Matches/1485194/Live/England-Premier-League-2020-2021-Arsenal-West-Ham,
2020-09-19 12:30:00,Everton,West Bromwich Albion,1485197,https://www.whoscored.com/Matches/1485197/Live/England-Premier-League-2020-2021-Everton-West-Bromwich-Albion,
2020-09-19 15:00:00,Leeds,Fulham,1485198,https://www.whoscored.com/Matches/1485198/Live/England-Premier-League-2020-2021-Leeds-Fulham,
2020-09-19 17:30:00,Manchester United,Crystal Palace,1485200,https://www.whoscored.com/Matches/1485200/Live/England-Premier-League-2020-2021-Manchester-United-Crystal-Palace,
2020-09-20 16:30:00,Chelsea,Liverpool,1485196,https://www.whoscored.com/Matches/1485196/Live/England-Premier-League-2020-2021-Chelsea-Liverpool,
2020-09-20 19:00:00,Leicester,Burnley,1485199,https://www.whoscored.com/Matches/1485199/Live/England-Premier-League-2020-2021-Leicester-Burnley,
2020-09-20 14:00:00,Newcastle,Brighton,1485201,https://www.whoscored.com/Matches/1485201/Live/England-Premier-League-2020-2021-Newcastle-Brighton,
2020-09-20 12:00:00,Southampton,Tottenham,1485202,https://www.whoscored.com/Matches/1485202/Live/England-Premier-League-2020-2021-Southampton-Tottenham,
2020-09-21 18:00:00,Aston Villa,Sheffield United,1485195,https://www.whoscored.com/Matches/1485195/Live/England-Premier-League-2020-2021-Aston-Villa-Sheffield-United,
2020-09-21 20:15:00,Wolves,Manchester City,1485203,https://www.whoscored.com/Matches/1485203/Live/England-Premier-League-2020-2021-Wolves-Manchester-City,
2020-09-26 12:30:00,Brighton,Manchester United,1485204,https://www.whoscored.com/Matches/1485204/Live/England-Premier-League-2020-2021-Brighton-Manchester-United,
2020-09-26 20:00:00,Burnley,Southampton,1485205,https://www.whoscored.com/Matches/1485205/Live/England-Premier-League-2020-2021-Burnley-Southampton,
2020-09-26 15:00:00,Crystal Palace,Everton,1485206,https://www.whoscored.com/Matches/1485206/Live/England-Premier-League-2020-2021-Crystal-Palace-Everton,
2020-09-26 17:30:00,West Bromwich Albion,Chelsea,1485212,https://www.whoscored.com/Matches/1485212/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Chelsea,
2020-09-27 16:30:00,Manchester City,Leicester,1485209,https://www.whoscored.com/Matches/1485209/Live/England-Premier-League-2020-2021-Manchester-City-Leicester,
2020-09-27 12:00:00,Sheffield United,Leeds,1485210,https://www.whoscored.com/Matches/1485210/Live/England-Premier-League-2020-2021-Sheffield-United-Leeds,
2020-09-27 14:00:00,Tottenham,Newcastle,1485211,https://www.whoscored.com/Matches/1485211/Live/England-Premier-League-2020-2021-Tottenham-Newcastle,
2020-09-27 19:00:00,West Ham,Wolves,1485213,https://www.whoscored.com/Matches/1485213/Live/England-Premier-League-2020-2021-West-Ham-Wolves,
2020-09-28 17:45:00,Fulham,Aston Villa,1485207,https://www.whoscored.com/Matches/1485207/Live/England-Premier-League-2020-2021-Fulham-Aston-Villa,
2020-09-28 20:00:00,Liverpool,Arsenal,1485208,https://www.whoscored.com/Matches/1485208/Live/England-Premier-League-2020-2021-Liverpool-Arsenal,
2020-10-03 12:30:00,Chelsea,Crystal Palace,1485216,https://www.whoscored.com/Matches/1485216/Live/England-Premier-League-2020-2021-Chelsea-Crystal-Palace,
2020-10-03 15:00:00,Everton,Brighton,1485217,https://www.whoscored.com/Matches/1485217/Live/England-Premier-League-2020-2021-Everton-Brighton,
2020-10-03 17:30:00,Leeds,Manchester City,1485218,https://www.whoscored.com/Matches/1485218/Live/England-Premier-League-2020-2021-Leeds-Manchester-City,
2020-10-03 20:00:00,Newcastle,Burnley,1485221,https://www.whoscored.com/Matches/1485221/Live/England-Premier-League-2020-2021-Newcastle-Burnley,
2020-10-04 14:00:00,Arsenal,Sheffield United,1485214,https://www.whoscored.com/Matches/1485214/Live/England-Premier-League-2020-2021-Arsenal-Sheffield-United,
2020-10-04 19:15:00,Aston Villa,Liverpool,1485215,https://www.whoscored.com/Matches/1485215/Live/England-Premier-League-2020-2021-Aston-Villa-Liverpool,
2020-10-04 12:00:00,Leicester,West Ham,1485219,https://www.whoscored.com/Matches/1485219/Live/England-Premier-League-2020-2021-Leicester-West-Ham,
2020-10-04 16:30:00,Manchester United,Tottenham,1485220,https://www.whoscored.com/Matches/1485220/Live/England-Premier-League-2020-2021-Manchester-United-Tottenham,
2020-10-04 12:00:00,Southampton,West Bromwich Albion,1485222,https://www.whoscored.com/Matches/1485222/Live/England-Premier-League-2020-2021-Southampton-West-Bromwich-Albion,
2020-10-04 14:00:00,Wolves,Fulham,1485223,https://www.whoscored.com/Matches/1485223/Live/England-Premier-League-2020-2021-Wolves-Fulham,
2020-10-17 15:00:00,Chelsea,Southampton,1485224,https://www.whoscored.com/Matches/1485224/Live/England-Premier-League-2020-2021-Chelsea-Southampton,
2020-10-17 12:30:00,Everton,Liverpool,1485226,https://www.whoscored.com/Matches/1485226/Live/England-Premier-League-2020-2021-Everton-Liverpool,
2020-10-17 17:30:00,Manchester City,Arsenal,1485229,https://www.whoscored.com/Matches/1485229/Live/England-Premier-League-2020-2021-Manchester-City-Arsenal,
2020-10-17 20:00:00,Newcastle,Manchester United,1485230,https://www.whoscored.com/Matches/1485230/Live/England-Premier-League-2020-2021-Newcastle-Manchester-United,
2020-10-18 14:00:00,Crystal Palace,Brighton,1485225,https://www.whoscored.com/Matches/1485225/Live/England-Premier-League-2020-2021-Crystal-Palace-Brighton,
2020-10-18 19:15:00,Leicester,Aston Villa,1485228,https://www.whoscored.com/Matches/1485228/Live/England-Premier-League-2020-2021-Leicester-Aston-Villa,
2020-10-18 12:00:00,Sheffield United,Fulham,1485231,https://www.whoscored.com/Matches/1485231/Live/England-Premier-League-2020-2021-Sheffield-United-Fulham,
2020-10-18 16:30:00,Tottenham,West Ham,1485232,https://www.whoscored.com/Matches/1485232/Live/England-Premier-League-2020-2021-Tottenham-West-Ham,
2020-10-19 20:00:00,Leeds,Wolves,1485227,https://www.whoscored.com/Matches/1485227/Live/England-Premier-League-2020-2021-Leeds-Wolves,
2020-10-19 17:30:00,West Bromwich Albion,Burnley,1485233,https://www.whoscored.com/Matches/1485233/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Burnley,
2020-10-23 20:00:00,Aston Villa,Leeds,1485235,https://www.whoscored.com/Matches/1485235/Live/England-Premier-League-2020-2021-Aston-Villa-Leeds,
2020-10-24 15:00:00,Fulham,Crystal Palace,1485239,https://www.whoscored.com/Matches/1485239/Live/England-Premier-League-2020-2021-Fulham-Crystal-Palace,
2020-10-24 20:00:00,Liverpool,Sheffield United,1485241,https://www.whoscored.com/Matches/1485241/Live/England-Premier-League-2020-2021-Liverpool-Sheffield-United,
2020-10-24 17:30:00,Manchester United,Chelsea,1485243,https://www.whoscored.com/Matches/1485243/Live/England-Premier-League-2020-2021-Manchester-United-Chelsea,
2020-10-24 12:30:00,West Ham,Manchester City,1485247,https://www.whoscored.com/Matches/1485247/Live/England-Premier-League-2020-2021-West-Ham-Manchester-City,
2020-10-25 19:15:00,Arsenal,Leicester,1485234,https://www.whoscored.com/Matches/1485234/Live/England-Premier-League-2020-2021-Arsenal-Leicester,
2020-10-25 14:00:00,Southampton,Everton,1485245,https://www.whoscored.com/Matches/1485245/Live/England-Premier-League-2020-2021-Southampton-Everton,
2020-10-25 16:30:00,Wolves,Newcastle,1485249,https://www.whoscored.com/Matches/1485249/Live/England-Premier-League-2020-2021-Wolves-Newcastle,
2020-10-26 17:30:00,Brighton,West Bromwich Albion,1485236,https://www.whoscored.com/Matches/1485236/Live/England-Premier-League-2020-2021-Brighton-West-Bromwich-Albion,
2020-10-26 20:00:00,Burnley,Tottenham,1485237,https://www.whoscored.com/Matches/1485237/Live/England-Premier-League-2020-2021-Burnley-Tottenham,
2020-10-30 20:00:00,Wolves,Crystal Palace,1485269,https://www.whoscored.com/Matches/1485269/Live/England-Premier-League-2020-2021-Wolves-Crystal-Palace,
2020-10-31 15:00:00,Burnley,Chelsea,1485253,https://www.whoscored.com/Matches/1485253/Live/England-Premier-League-2020-2021-Burnley-Chelsea,
2020-10-31 17:30:00,Liverpool,West Ham,1485259,https://www.whoscored.com/Matches/1485259/Live/England-Premier-League-2020-2021-Liverpool-West-Ham,
2020-10-31 12:30:00,Sheffield United,Manchester City,1485265,https://www.whoscored.com/Matches/1485265/Live/England-Premier-League-2020-2021-Sheffield-United-Manchester-City,
2020-11-01 12:00:00,Aston Villa,Southampton,1485251,https://www.whoscored.com/Matches/1485251/Live/England-Premier-League-2020-2021-Aston-Villa-Southampton,
2020-11-01 16:30:00,Manchester United,Arsenal,1485261,https://www.whoscored.com/Matches/1485261/Live/England-Premier-League-2020-2021-Manchester-United-Arsenal,
2020-11-01 14:00:00,Newcastle,Everton,1485263,https://www.whoscored.com/Matches/1485263/Live/England-Premier-League-2020-2021-Newcastle-Everton,
2020-11-01 19:15:00,Tottenham,Brighton,1485267,https://www.whoscored.com/Matches/1485267/Live/England-Premier-League-2020-2021-Tottenham-Brighton,
2020-11-02 17:30:00,Fulham,West Bromwich Albion,1485255,https://www.whoscored.com/Matches/1485255/Live/England-Premier-League-2020-2021-Fulham-West-Bromwich-Albion,
2020-11-02 20:00:00,Leeds,Leicester,1485257,https://www.whoscored.com/Matches/1485257/Live/England-Premier-League-2020-2021-Leeds-Leicester,
2020-11-06 17:30:00,Brighton,Burnley,1485273,https://www.whoscored.com/Matches/1485273/Live/England-Premier-League-2020-2021-Brighton-Burnley,
2020-11-06 20:00:00,Southampton,Newcastle,1485285,https://www.whoscored.com/Matches/1485285/Live/England-Premier-League-2020-2021-Southampton-Newcastle,
2020-11-07 17:30:00,Chelsea,Sheffield United,1485275,https://www.whoscored.com/Matches/1485275/Live/England-Premier-League-2020-2021-Chelsea-Sheffield-United,
