date,home_team,away_team,game_id,url,stage
2000-08-11 19:15:00,Borussia Dortmund,Hansa Rostock,4786,https://www.whoscored.com/Matches/4786/Live/Germany-Bundesliga-2000-2001-Borussia-Dortmund-Hansa-Rostock,
2000-08-12 14:30:00,Bayer Leverkusen,Wolfsburg,4826,https://www.whoscored.com/Matches/4826/Live/Germany-Bundesliga-2000-2001-Bayer-Leverkusen-Wolfsburg,
2000-08-12 19:15:00,Bayern Munich,Hertha Berlin,4879,https://www.whoscored.com/Matches/4879/Live/Germany-Bundesliga-2000-2001-Bayern-Munich-Hertha-Berlin,
2000-08-12 14:30:00,Freiburg,VfB Stuttgart,4825,https://www.whoscored.com/Matches/4825/Live/Germany-Bundesliga-2000-2001-Freiburg-VfB-Stuttgart,
2000-08-12 14:30:00,Hamburger SV,1860 Munich,4827,https://www.whoscored.com/Matches/4827/Live/Germany-Bundesliga-2000-2001-Hamburger-SV-1860-Munich,
2000-08-12 14:30:00,Kaiserslautern,Bochum,4829,https://www.whoscored.com/Matches/4829/Live/Germany-Bundesliga-2000-2001-Kaiserslautern-Bochum,
2000-08-12 14:30:00,Werder Bremen,Energie Cottbus,4828,https://www.whoscored.com/Matches/4828/Live/Germany-Bundesliga-2000-2001-Werder-Bremen-Energie-Cottbus,
2000-08-13 16:30:00,Eintracht Frankfurt,Unterhaching,4943,https://www.whoscored.com/Matches/4943/Live/Germany-Bundesliga-2000-2001-Eintracht-Frankfurt-Unterhaching,
2000-08-13 16:30:00,Schalke 04,FC Koln,4944,https://www.whoscored.com/Matches/4944/Live/Germany-Bundesliga-2000-2001-Schalke-04-FC-Koln,
2000-08-18 19:15:00,Energie Cottbus,Borussia Dortmund,5061,https://www.whoscored.com/Matches/5061/Live/Germany-Bundesliga-2000-2001-Energie-Cottbus-Borussia-Dortmund,
2000-08-19 14:30:00,1860 Munich,Werder Bremen,5082,https://www.whoscored.com/Matches/5082/Live/Germany-Bundesliga-2000-2001-1860-Munich-Werder-Bremen,
2000-08-19 14:30:00,Bochum,Bayern Munich,5081,https://www.whoscored.com/Matches/5081/Live/Germany-Bundesliga-2000-2001-Bochum-Bayern-Munich,
2000-08-19 14:30:00,Hertha Berlin,Hamburger SV,5084,https://www.whoscored.com/Matches/5084/Live/Germany-Bundesliga-2000-2001-Hertha-Berlin-Hamburger-SV,
2000-08-19 14:30:00,Unterhaching,Freiburg,5083,https://www.whoscored.com/Matches/5083/Live/Germany-Bundesliga-2000-2001-Unterhaching-Freiburg,
2000-08-19 19:15:00,VfB Stuttgart,Bayer Leverkusen,5182,https://www.whoscored.com/Matches/5182/Live/Germany-Bundesliga-2000-2001-VfB-Stuttgart-Bayer-Leverkusen,
2000-08-19 14:30:00,Wolfsburg,Kaiserslautern,5080,https://www.whoscored.com/Matches/5080/Live/Germany-Bundesliga-2000-2001-Wolfsburg-Kaiserslautern,
2000-08-20 16:30:00,FC Koln,Eintracht Frankfurt,5232,https://www.whoscored.com/Matches/5232/Live/Germany-Bundesliga-2000-2001-FC-Koln-Eintracht-Frankfurt,
2000-08-20 16:30:00,Hansa Rostock,Schalke 04,5231,https://www.whoscored.com/Matches/5231/Live/Germany-Bundesliga-2000-2001-Hansa-Rostock-Schalke-04,
2000-09-05 19:15:00,Bayer Leverkusen,Unterhaching,5876,https://www.whoscored.com/Matches/5876/Live/Germany-Bundesliga-2000-2001-Bayer-Leverkusen-Unterhaching,
2000-09-05 17:15:00,Freiburg,FC Koln,5868,https://www.whoscored.com/Matches/5868/Live/Germany-Bundesliga-2000-2001-Freiburg-FC-Koln,
2000-09-05 19:15:00,Kaiserslautern,VfB Stuttgart,5877,https://www.whoscored.com/Matches/5877/Live/Germany-Bundesliga-2000-2001-Kaiserslautern-VfB-Stuttgart,
2000-09-05 19:15:00,Schalke 04,Energie Cottbus,5875,https://www.whoscored.com/Matches/5875/Live/Germany-Bundesliga-2000-2001-Schalke-04-Energie-Cottbus,
2000-09-06 19:15:00,Bayern Munich,Wolfsburg,6006,https://www.whoscored.com/Matches/6006/Live/Germany-Bundesliga-2000-2001-Bayern-Munich-Wolfsburg,
2000-09-06 19:15:00,Borussia Dortmund,1860 Munich,6007,https://www.whoscored.com/Matches/6007/Live/Germany-Bundesliga-2000-2001-Borussia-Dortmund-1860-Munich,
2000-09-06 19:15:00,Eintracht Frankfurt,Hansa Rostock,6005,https://www.whoscored.com/Matches/6005/Live/Germany-Bundesliga-2000-2001-Eintracht-Frankfurt-Hansa-Rostock,
2000-09-06 17:15:00,Hamburger SV,Werder Bremen,5974,https://www.whoscored.com/Matches/5974/Live/Germany-Bundesliga-2000-2001-Hamburger-SV-Werder-Bremen,
2000-09-06 19:15:00,Hertha Berlin,Bochum,6004,https://www.whoscored.com/Matches/6004/Live/Germany-Bundesliga-2000-2001-Hertha-Berlin-Bochum,
2000-09-08 19:15:00,Unterhaching,Kaiserslautern,6035,https://www.whoscored.com/Matches/6035/Live/Germany-Bundesliga-2000-2001-Unterhaching-Kaiserslautern,
