,league,season,team,players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
0,ENG-Premier League,2324,Arsenal,25,37,18481,21851,84.6,300603,99634,9352,10250,91.2,7599,8533,89.1,1154,2116,54.5,60,52.9,55.6,7.1,492,1490,528,65,2019,/en/squads/18bb7c10/Arsenal-Stats
1,ENG-Premier League,2324,Arsenal,25,37,18481,21851,84.6,300603,99634,9352,10250,91.2,7599,8533,89.1,1154,2116,54.5,60,52.9,55.6,7.1,492,1490,528,65,2019,/en/squads/18bb7c10/Arsenal-Stats
2,ENG-Premier League,2324,Aston Villa,30,36,15346,18429,83.3,267746,90879,6756,7499,90.1,7033,7893,89.1,1266,2247,56.3,52,44.9,39.8,7.1,376,1123,352,65,1408,/en/squads/8602292d/Aston-Villa-Stats
3,ENG-Premier League,2324,Aston Villa,30,36,15346,18429,83.3,267746,90879,6756,7499,90.1,7033,7893,89.1,1266,2247,56.3,52,44.9,39.8,7.1,376,1123,352,65,1408,/en/squads/8602292d/Aston-Villa-Stats
4,ENG-Premier League,2324,Bournemouth,30,37,11610,15554,74.6,215571,81094,4854,5729,84.7,5150,6073,84.8,1352,2897,46.7,39,38.9,32.6,0.1,397,1048,342,85,1284,/en/squads/4ba7cbea/Bournemouth-Stats
5,ENG-Premier League,2324,Bournemouth,30,37,11610,15554,74.6,215571,81094,4854,5729,84.7,5150,6073,84.8,1352,2897,46.7,39,38.9,32.6,0.1,397,1048,342,85,1284,/en/squads/4ba7cbea/Bournemouth-Stats
6,ENG-Premier League,2324,Brentford,28,37,12128,16304,74.4,218760,85888,5415,6406,84.5,5053,6225,81.2,1350,2717,49.7,36,41.6,39.1,-5.6,323,938,323,102,1242,/en/squads/cd051869/Brentford-Stats
7,ENG-Premier League,2324,Brentford,28,37,12128,16304,74.4,218760,85888,5415,6406,84.5,5053,6225,81.2,1350,2717,49.7,36,41.6,39.1,-5.6,323,938,323,102,1242,/en/squads/cd051869/Brentford-Stats
8,ENG-Premier League,2324,Brighton,30,36,20745,23820,87.1,324033,108294,11012,11873,92.7,7844,8670,90.5,1235,2066,59.8,35,39.1,40.2,-4.1,406,1397,360,73,1696,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
9,ENG-Premier League,2324,Brighton,30,36,20745,23820,87.1,324033,108294,11012,11873,92.7,7844,8670,90.5,1235,2066,59.8,35,39.1,40.2,-4.1,406,1397,360,73,1696,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
10,ENG-Premier League,2324,Burnley,31,37,13324,17263,77.2,236152,80693,5983,6911,86.6,5772,6767,85.3,1287,2701,47.6,29,28.7,25.8,0.3,310,913,210,54,1130,/en/squads/943e8050/Burnley-Stats
11,ENG-Premier League,2324,Burnley,31,37,13324,17263,77.2,236152,80693,5983,6911,86.6,5772,6767,85.3,1287,2701,47.6,29,28.7,25.8,0.3,310,913,210,54,1130,/en/squads/943e8050/Burnley-Stats
12,ENG-Premier League,2324,Chelsea,32,36,19119,22297,85.7,312287,104099,9578,10417,91.9,7767,8618,90.1,1290,2191,58.9,48,49.0,41.0,-1.0,394,1291,334,48,1546,/en/squads/cff3d9bb/Chelsea-Stats
13,ENG-Premier League,2324,Chelsea,32,36,19119,22297,85.7,312287,104099,9578,10417,91.9,7767,8618,90.1,1290,2191,58.9,48,49.0,41.0,-1.0,394,1291,334,48,1546,/en/squads/cff3d9bb/Chelsea-Stats
14,ENG-Premier League,2324,Crystal Palace,26,37,12406,16175,76.7,217657,82423,5755,6616,87.0,5167,6100,84.7,1173,2552,46.0,39,36.3,30.3,2.7,341,953,261,58,1131,/en/squads/47c64c55/Crystal-Palace-Stats
15,ENG-Premier League,2324,Crystal Palace,26,37,12406,16175,76.7,217657,82423,5755,6616,87.0,5167,6100,84.7,1173,2552,46.0,39,36.3,30.3,2.7,341,953,261,58,1131,/en/squads/47c64c55/Crystal-Palace-Stats
16,ENG-Premier League,2324,Everton,26,37,11119,15184,73.2,204632,86710,5077,5951,85.3,4313,5310,81.2,1443,2999,48.1,17,38.0,31.6,-21.0,337,945,282,77,1115,/en/squads/d3fd31cc/Everton-Stats
17,ENG-Premier League,2324,Everton,26,37,11119,15184,73.2,204632,86710,5077,5951,85.3,4313,5310,81.2,1443,2999,48.1,17,38.0,31.6,-21.0,337,945,282,77,1115,/en/squads/d3fd31cc/Everton-Stats
18,ENG-Premier League,2324,Fulham,25,37,15896,19741,80.5,283242,97689,6839,7694,88.9,7097,8150,87.1,1558,2802,55.6,36,36.6,32.9,-0.6,365,1089,346,92,1427,/en/squads/fd962109/Fulham-Stats
19,ENG-Premier League,2324,Fulham,25,37,15896,19741,80.5,283242,97689,6839,7694,88.9,7097,8150,87.1,1558,2802,55.6,36,36.6,32.9,-0.6,365,1089,346,92,1427,/en/squads/fd962109/Fulham-Stats
20,ENG-Premier League,2324,Liverpool,30,36,19252,23096,83.4,328216,112349,9080,10028,90.5,8202,9293,88.3,1547,2681,57.7,58,59.6,52.3,-1.6,557,1563,480,76,1988,/en/squads/822bd0ba/Liverpool-Stats
21,ENG-Premier League,2324,Liverpool,30,36,19252,23096,83.4,328216,112349,9080,10028,90.5,8202,9293,88.3,1547,2681,57.7,58,59.6,52.3,-1.6,557,1563,480,76,1988,/en/squads/822bd0ba/Liverpool-Stats
22,ENG-Premier League,2324,Luton Town,27,37,10783,14753,73.1,196101,79263,4881,5679,85.9,4308,5279,81.6,1253,2812,44.6,33,28.6,27.2,4.4,306,816,243,87,1086,/en/squads/e297cd13/Luton-Town-Stats
23,ENG-Premier League,2324,Luton Town,27,37,10783,14753,73.1,196101,79263,4881,5679,85.9,4308,5279,81.6,1253,2812,44.6,33,28.6,27.2,4.4,306,816,243,87,1086,/en/squads/e297cd13/Luton-Town-Stats
24,ENG-Premier League,2324,Manchester City,25,36,23370,26378,88.6,375443,107063,12148,12933,93.9,9073,9899,91.7,1567,2372,66.1,65,57.5,59.1,7.5,520,1797,467,64,1974,/en/squads/b8fd03ef/Manchester-City-Stats
25,ENG-Premier League,2324,Manchester City,25,36,23370,26378,88.6,375443,107063,12148,12933,93.9,9073,9899,91.7,1567,2372,66.1,65,57.5,59.1,7.5,520,1797,467,64,1974,/en/squads/b8fd03ef/Manchester-City-Stats
26,ENG-Premier League,2324,Manchester Utd,31,36,15070,18662,80.8,248677,86434,7496,8425,89.0,5724,6669,85.8,1293,2396,54.0,33,38.1,33.4,-5.1,411,1148,322,49,1429,/en/squads/19538871/Manchester-United-Stats
27,ENG-Premier League,2324,Manchester Utd,31,36,15070,18662,80.8,248677,86434,7496,8425,89.0,5724,6669,85.8,1293,2396,54.0,33,38.1,33.4,-5.1,411,1148,322,49,1429,/en/squads/19538871/Manchester-United-Stats
28,ENG-Premier League,2324,Newcastle Utd,32,36,15368,18920,81.2,261355,91922,7316,8212,89.1,6421,7404,86.7,1292,2387,54.1,51,47.1,40.8,3.9,399,1057,360,71,1475,/en/squads/b2b47a98/Newcastle-United-Stats
29,ENG-Premier League,2324,Newcastle Utd,32,36,15368,18920,81.2,261355,91922,7316,8212,89.1,6421,7404,86.7,1292,2387,54.1,51,47.1,40.8,3.9,399,1057,360,71,1475,/en/squads/b2b47a98/Newcastle-United-Stats
