date,home_team,away_team,game_id,url,stage
2000-07-28 17:45:00,Marseille,Troyes,4407,https://www.whoscored.com/Matches/4407/Live/France-Ligue-1-2000-2001-Marseille-Troyes,
2000-07-28 19:45:00,Paris Saint-Germain,Strasbourg,4413,https://www.whoscored.com/Matches/4413/Live/France-Ligue-1-2000-2001-Paris-Saint-Germain-Strasbourg,
2000-07-29 19:00:00,Auxerre,Sedan,4444,https://www.whoscored.com/Matches/4444/Live/France-Ligue-1-2000-2001-Auxerre-Sedan,
2000-07-29 19:00:00,Bordeaux,Metz,4445,https://www.whoscored.com/Matches/4445/Live/France-Ligue-1-2000-2001-Bordeaux-Metz,
2000-07-29 19:00:00,Guingamp,Saint-Etienne,4446,https://www.whoscored.com/Matches/4446/Live/France-Ligue-1-2000-2001-Guingamp-Saint-Etienne,
2000-07-29 19:00:00,Lille,Monaco,4447,https://www.whoscored.com/Matches/4447/Live/France-Ligue-1-2000-2001-Lille-Monaco,
2000-07-29 19:00:00,Lyon,Rennes,4448,https://www.whoscored.com/Matches/4448/Live/France-Ligue-1-2000-2001-Lyon-Rennes,
2000-07-29 19:00:00,Nantes,Lens,4449,https://www.whoscored.com/Matches/4449/Live/France-Ligue-1-2000-2001-Nantes-Lens,
2000-07-29 19:00:00,Toulouse,SC Bastia,4450,https://www.whoscored.com/Matches/4450/Live/France-Ligue-1-2000-2001-Toulouse-SC-Bastia,
2000-08-03 19:00:00,Sedan,Lyon,4555,https://www.whoscored.com/Matches/4555/Live/France-Ligue-1-2000-2001-Sedan-Lyon,
2000-08-04 17:45:00,Monaco,Nantes,4571,https://www.whoscored.com/Matches/4571/Live/France-Ligue-1-2000-2001-Monaco-Nantes,
2000-08-04 19:45:00,Saint-Etienne,Marseille,4576,https://www.whoscored.com/Matches/4576/Live/France-Ligue-1-2000-2001-Saint-Etienne-Marseille,
2000-08-05 19:00:00,Lens,Guingamp,4618,https://www.whoscored.com/Matches/4618/Live/France-Ligue-1-2000-2001-Lens-Guingamp,
2000-08-05 19:00:00,Metz,Auxerre,4614,https://www.whoscored.com/Matches/4614/Live/France-Ligue-1-2000-2001-Metz-Auxerre,
2000-08-05 19:00:00,Rennes,Paris Saint-Germain,4615,https://www.whoscored.com/Matches/4615/Live/France-Ligue-1-2000-2001-Rennes-Paris-Saint-Germain,
