"('league', '')","('season', '')","('team', '')","('player', '')","('nation', '')","('pos', '')","('age', '')","('born', '')",minutes_90s,sca_total,sca_per_90,sca_types_pass_live,sca_types_pass_dead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_total,gca_per_90,gca_types_pass_live,gca_types_pass_dead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def
FRA-Ligue 1,2324,Brest,Achraf Dari,MAR,"DF,FW",25-021,1999,1.3,1,0.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Adrien Lebeau,FRA,"MF,FW",24-324,1999,0.6,4,6.67,3,1,0,0,0,0,1,1.67,1,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Axel Camblan,FRA,FW,20-271,2003,1.0,2,2.02,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Bilal Brahimi,ALG,"FW,MF",24-074,2000,2.5,13,5.29,11,0,0,2,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,22-021,2002,32.9,63,1.92,49,2,6,2,3,1,7,0.21,6,0,1,0,0,0
FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,29-157,1994,33.0,28,0.85,24,1,0,2,1,0,4,0.12,2,0,0,1,1,0
FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,25-054,1999,2.0,1,0.5,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Hianga Mananga Mbock,FRA,"MF,FW",24-151,1999,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25-363,1998,26.0,60,2.31,47,0,5,6,1,1,5,0.19,2,0,1,2,0,0
FRA-Ligue 1,2324,Brest,Jonas Martin,FRA,MF,34-048,1990,13.4,25,1.86,23,0,1,0,0,1,1,0.07,1,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Jordan Amavi,FRA,DF,30-079,1994,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Julien Le Cardinal,FRA,DF,26-298,1997,5.3,9,1.71,4,1,1,1,1,1,2,0.38,1,0,0,0,1,0
FRA-Ligue 1,2324,Brest,Jérémy Le Douaron,FRA,FW,26-036,1998,18.0,32,1.78,21,0,4,3,4,0,4,0.22,2,0,0,1,1,0
FRA-Ligue 1,2324,Brest,Kamory Doumbia,MLI,MF,21-099,2003,9.8,27,2.76,22,0,2,3,0,0,7,0.72,7,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Karamoko Dembele,SCO,"MF,FW",21-095,2003,0.2,1,5.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Kenny Lala,MAD,DF,32-237,1991,33.0,98,2.97,74,18,2,3,1,0,9,0.27,7,2,0,0,0,0
FRA-Ligue 1,2324,Brest,Lilian Brassier,FRA,DF,24-207,1999,29.7,18,0.61,14,0,1,0,1,2,2,0.07,1,0,0,0,1,0
FRA-Ligue 1,2324,Brest,Luc Zogbé,CIV,DF,19-064,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Mahdi Camara,FRA,MF,25-332,1998,22.4,73,3.25,50,0,2,7,10,4,7,0.31,4,0,0,1,2,0
FRA-Ligue 1,2324,Brest,Marco Bizot,NED,GK,33-078,1991,32.0,5,0.16,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Brest,Martin Satriano,URU,FW,23-097,2001,20.7,57,2.75,39,1,5,7,3,2,6,0.29,5,0,0,1,0,0
FRA-Ligue 1,2324,Brest,Mathias Pereira Lage,POR,"FW,MF",27-179,1996,13.2,37,2.81,19,9,2,1,4,2,5,0.38,2,2,0,0,0,1
FRA-Ligue 1,2324,Brest,Pierre Lees-Melou,FRA,MF,31-002,1993,28.0,84,3.0,60,0,5,9,3,7,5,0.18,3,0,1,0,0,1
FRA-Ligue 1,2324,Brest,Romain Del Castillo,FRA,FW,28-059,1996,27.7,166,5.98,101,38,9,4,12,2,14,0.5,9,4,0,1,0,0
FRA-Ligue 1,2324,Brest,Steve Mounié,BEN,FW,29-241,1994,19.7,32,1.63,20,0,0,9,3,0,6,0.31,2,0,0,3,1,0
FRA-Ligue 1,2324,Clermont Foot,Abdellah Baallal,MAR,MF,19-202,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Alan Virginius,FRA,FW,21-145,2003,10.4,21,2.02,15,2,1,2,1,0,3,0.29,2,0,0,0,1,0
FRA-Ligue 1,2324,Clermont Foot,Alidu Seidu,GHA,DF,23-358,2000,12.6,13,1.03,7,2,1,0,3,0,1,0.08,1,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Andy Pelmard,FRA,DF,24-076,2000,33.2,21,0.63,18,1,2,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Aïman Maurer,MAR,"MF,FW",19-245,2004,0.6,1,1.61,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Bilal Boutobba,FRA,"FW,MF",25-272,1998,10.3,34,3.3,21,2,4,3,3,1,1,0.1,1,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Cheick Konaté,MLI,DF,20-055,2004,11.9,29,2.44,25,0,3,1,0,0,2,0.17,2,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Chrislain Matsima,FRA,DF,22-012,2002,13.1,6,0.46,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Elba Rashani,KVX,"MF,FW",31-018,1993,13.1,29,2.22,22,0,1,2,3,1,2,0.15,1,0,0,0,1,0
FRA-Ligue 1,2324,Clermont Foot,Florent Ogier,FRA,DF,35-067,1989,10.5,9,0.86,5,0,0,4,0,0,2,0.19,1,0,0,1,0,0
FRA-Ligue 1,2324,Clermont Foot,Grejohn Kyei,FRA,FW,28-289,1995,11.4,21,1.84,18,0,1,1,1,0,2,0.18,2,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Habib Keita,MLI,MF,22-112,2002,14.2,28,1.97,24,0,1,2,1,0,1,0.07,1,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Ilhan Fakili,FRA,"MF,FW",18-128,2006,1.0,2,1.91,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Jim Allevinah,GAB,"MF,DF",29-090,1995,20.7,58,2.8,37,2,6,6,6,1,3,0.15,3,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Johan Gastien,FRA,MF,36-123,1988,25.1,63,2.51,47,11,0,1,2,2,4,0.16,4,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Joshua M'Bahia,CIV,DF,19-038,2005,0.2,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Clermont Foot,Jérémie Bela,ANG,"MF,FW",31-049,1993,2.3,7,3.07,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Jérémy Jacquet,FRA,DF,18-319,2005,2.8,5,1.79,5,0,0,0,0,0,1,0.36,1,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Komnen Andrić,SRB,FW,28-331,1995,1.9,6,3.2,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Massamba Ndiaye,SEN,GK,22-232,2001,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Mateusz Wieteska,POL,DF,27-106,1997,1.9,1,0.51,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Maxime Gonalons,FRA,MF,35-078,1989,14.4,19,1.32,18,0,0,0,0,1,2,0.14,2,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Maximiliano Caufriez,BEL,DF,27-101,1997,18.4,14,0.76,13,1,0,0,0,0,2,0.11,2,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Mehdi Zeffane,ALG,"DF,MF",32-008,1992,13.7,24,1.76,18,2,0,3,1,0,3,0.22,1,1,0,0,1,0
FRA-Ligue 1,2324,Clermont Foot,Mohamed Bouchenna,FRA,"MF,FW",17-347,2006,0.3,2,6.21,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Mory Diaw,SEN,GK,30-340,1993,30.0,7,0.23,6,1,0,0,0,0,1,0.03,1,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Muhammed Cham,AUT,"MF,FW",23-244,2000,28.4,119,4.2,71,27,3,8,10,0,9,0.32,4,3,0,2,0,0
FRA-Ligue 1,2324,Clermont Foot,Neto Borges,BRA,DF,27-257,1996,28.0,50,1.79,37,5,2,2,3,1,3,0.11,1,0,0,0,2,0
FRA-Ligue 1,2324,Clermont Foot,Shamar Nicholson,JAM,FW,27-072,1997,16.5,44,2.67,30,0,3,6,4,1,5,0.3,5,0,0,0,0,0
FRA-Ligue 1,2324,Clermont Foot,Yohann Magnin,FRA,MF,26-341,1997,18.7,28,1.5,23,2,0,1,1,1,2,0.11,1,0,0,1,0,0
FRA-Ligue 1,2324,Clermont Foot,Yoël Armougom,FRA,"DF,MF",25-357,1998,2.6,8,3.08,7,0,0,1,0,0,1,0.38,1,0,0,0,0,0
FRA-Ligue 1,2324,Le Havre,Abdoulaye Touré,GUI,MF,30-085,1994,25.4,44,1.73,37,0,2,1,3,1,1,0.04,1,0,0,0,0,0
FRA-Ligue 1,2324,Le Havre,Alois Confais,FRA,"MF,FW",27-263,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
